,Feature,Nec Score,Suf Score,NeSuf Score
0,Lagged_Age,0.43999999999999995,1.0,0.43999999999999995
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,1.0000000000000002,0.9999999999999999,1.0
3,Lagged_Mobility,-2.497156142496188,0.0,0.0
4,Age,0.52,0.52,0.52
5,Nutrition,1.0000000000000002,0.9999999999999998,0.9999999999999997
6,Health,-1.4971561424961883,0.017822128319119574,0.05552033061301248
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.9172315965549264,1.0000000000000007,0.9547550211294578
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,-1.7651138784178886,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0000000000000002,1.0,0.9999999999999999
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.1088734789337113,0.9999999999999998,0.3875655951174072
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0,0.9999999999999999,1.0000000000000004
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0,0.9999999999999999,1.0000000000000004
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.013125322950411838,1.0000000000000007,0.027245118590959017
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
