,Feature,Nec Score,Suf Score,NeSuf Score
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0,1.0000000000000002,0.9999999999999999
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,0.9999999999999998,0.9999999999999993,0.9999999999999993
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0000000000000002,1.0,0.9999999999999999
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0000000000000002,1.0,0.9999999999999999
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0,0.9999999999999999,1.0000000000000004
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.44699033126129917,0.09674811343456254,0.3936998357132999
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,1.0000000000000002,1.0,0.9999999999999999
4,Age,0.0,0.0,0.0
5,Nutrition,0.6293813366347301,0.18753154180111217,0.3651441869658949
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.9999999999999999,0.44,0.44
1,Lagged_Nutrition,1.0,1.0,1.0
2,Lagged_Health,0.0,-2.6981911566996075,0.0
3,Lagged_Mobility,0.9999999999999999,1.0,1.0000000000000002
4,Age,0.52,0.52,0.52
5,Nutrition,0.0,-2.6981911566996075,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
0,Lagged_Age,0.0,0.0,0.0
1,Lagged_Nutrition,0.0,0.0,0.0
2,Lagged_Health,0.0,0.0,0.0
3,Lagged_Mobility,-0.7651138784178886,0.012715490084382124,0.02677016180790979
4,Age,0.0,0.0,0.0
5,Nutrition,0.0,0.0,0.0
6,Health,0.0,0.0,0.0
